OBJECTID,Shape,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,Rank
3846,Polygon Z,61501273,11/15/02,High,<Null>,<Null>,0,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.000891,0,1
12744,Polygon Z,61495603,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000878,0,2
12901,Polygon Z,61495553,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000514,0,3
29702,Polygon Z,61497193,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000622,0,4
30146,Polygon Z,61495549,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000678,0,5
38338,Polygon Z,61497395,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000739,0,6
38518,Polygon Z,61495843,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00089,0,7
46983,Polygon Z,61501207,11/15/02,High,<Null>,<Null>,0,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.000937,0,8
64087,Polygon Z,61497693,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000831,0,9
64129,Polygon Z,61498137,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000791,0,10
72784,Polygon Z,61501203,11/15/02,High,<Null>,<Null>,0,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.000525,0,11
81555,Polygon Z,61501051,11/15/02,High,<Null>,<Null>,0,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.000754,0,12
90023,Polygon Z,61497087,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000705,0,13
90145,Polygon Z,61501205,11/15/02,High,<Null>,<Null>,0,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.001221,0,14
29900,Polygon Z,{66E37B59-7DE3-4FF3-9061-C91582638226},10/16/12,High,<Null>,<Null>,0.000804,<Null>,2.08021E+12,SwampMarsh,Swamp/Marsh: Hydrographic Category: Perennial,Unspecified,0.001521,0,15
